Região,Provincia,Ecorregião Marinha,Zona,x,y
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.291,-30.489
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.334,-30.603
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.372,-30.699
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.424,-30.849
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.531999999999996,-30.85
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.659000000000002,-30.823
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.747,-30.803
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,21.840999999999998,-30.795
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.008000000000003,-30.748
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.089000000000002,-30.737
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.590999999999998,-30.698
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.756999999999998,-30.688000000000002
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,22.906999999999996,-30.706
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.16,-30.725
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.276999999999997,-30.719
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.388,-30.695999999999998
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.455,-30.704
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.590999999999998,-30.691
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.682,-30.689
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.8,-30.704
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.886,-30.699
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,23.980999999999998,-30.719
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,24.279,-30.749000000000002
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,24.409000000000002,-30.743000000000002
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,24.478,-30.714000000000002
